Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$15,641,652,329.00",5.46%,"4,099,147",$132.27,0.45%,No,No,0.11%,3.71%,21.31%,58.77%,90.07%,"$416,861,212.00","-$33,027,442.50","-$1,268,574,133.00","$685,075,372.50","-$2,152,684,733.50","$25,025,824.43",Consumer Discretionary Equities,1998-12-16,0.13%,N/A,$1.60,2019-12-20,$0.41,1.22%,22.73,1.09,65,66.51%,35%,15%,1099,$123.19,$133.58,$131.99,$132.64,68.98,A,A+,A,B+,A,A-,B+,5.29,52.94%,45.01%,45.83,25.26%,0.67%
XLC,Communication Services Select Sector SPDR Fund,Equity,"$7,690,269,439.00",7.37%,"3,203,953",$57.58,0.45%,No,No,1.27%,1.73%,25.63%,N/A,N/A,"$362,588,086.00","$28,476,150.00","$190,164,078.00","$2,222,929,254.50","$6,384,102,444.00","$6,384,102,444.00",Large Cap Growth Equities,2018-06-18,0.13%,N/A,$0.44,2019-12-20,$0.12,0.76%,20.90,0.92,27,73.59%,39%,20%,1099,$53.97,$57.72,$57.34,$57.78,67.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.27,40.38%,23.91%,20.42,0.00%,0.63%
VCR,Vanguard Consumer Discretionary ETF,Equity,"$3,345,001,946.00",7.73%,"56,379",$204.12,0.67%,No,No,0.83%,5.16%,22.98%,55.47%,80.80%,"$1,627,156.74","$5,060,750.00","$10,620,121.84","$174,860,896.67","$174,976,540.45","$522,994,467.31",Consumer Discretionary Equities,2004-01-30,0.10%,Vanguard,$2.23,2019-12-16,$0.75,1.10%,24.90,1.10,295,56.64%,35%,15%,1099,$187.44,$205.70,$203.70,$204.73,74.00,A+,A-,A+,A-,A,A-,A+,4.96,42.02%,38.24%,44.67,25.72%,2.18%
IYC,iShares US Consumer Services ETF,Equity,"$954,496,000.00",4.58%,"29,027",$238.69,0.38%,No,No,0.45%,2.85%,20.02%,53.67%,75.39%,$0.00,$0.00,$0.00,"-$43,362,128.50","-$216,589,546.50","-$384,226,016.00",Large Cap Growth Equities,2000-06-28,0.42%,N/A,$2.04,2019-12-16,$0.62,0.86%,25.03,1.02,157,51.64%,35%,15%,1099,$224.34,$240.07,$238.30,$239.21,66.93,A-,B+,B+,B-,A+,B,A,4.75,39.50%,34.41%,71.11,12.29%,0.51%
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Equity,"$828,834,768.00",8.08%,"78,269",$52.15,0.70%,No,No,0.85%,5.48%,23.45%,58.38%,84.02%,"-$21,630,169.50",$0.00,"$7,614,697.50","$24,137,140.50","$399,796,219.50","$469,273,819.00",Consumer Discretionary Equities,2013-10-21,0.08%,Fidelity,$0.55,2019-12-20,$0.14,1.06%,24.03,1.08,285,57.65%,35%,15%,1099,$47.71,$52.54,$52.01,$52.30,74.48,N/A,N/A,A,N/A,N/A,N/A,N/A,4.94,41.18%,38.00%,44.01,27.20%,2.51%
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Equity,"$323,583,566.00",1.34%,"68,468",$45.94,0.90%,No,No,0.32%,0.96%,10.73%,29.94%,32.09%,"-$49,741,594.50","$15,912,038.50","-$2,130,819.00","-$31,911,214.50","-$250,717,795.50","-$1,396,740,466.92",Consumer Discretionary Equities,2007-05-08,0.64%,N/A,$0.42,2019-12-13,$0.12,0.92%,15.21,1.02,119,17.23%,35%,15%,1099,$43.74,$46.13,$45.74,$46.10,57.73,A-,A,C+,A,B+,B,A-,4.03,26.05%,20.08%,61.99,2.87%,3.49%
IBUY,Amplify Online Retail ETF,Equity,"$254,294,900.00",7.44%,"30,852",$55.18,1.51%,No,No,1.06%,2.41%,15.77%,91.33%,N/A,"-$15,625,810.00",$0.00,"-$7,841,480.00","-$75,987,415.00","$187,390,239.00","$192,955,329.00",All Cap Equities,2016-04-20,0.65%,N/A,$0.15,2019-12-30,$0.15,0.27%,28.44,1.38,48,30.48%,39%,20%,1099,$51.50,$55.05,$54.63,$55.56,63.29,N/A,N/A,B-,N/A,N/A,N/A,N/A,3.93,12.75%,18.86%,16.36,2.62%,0.04%
RXI,iShares Global Consumer Discretionary ETF,Equity,"$222,840,975.00",1.37%,"22,844",$127.65,0.61%,No,No,-0.71%,0.19%,17.35%,41.57%,52.94%,$0.00,$0.00,$0.00,"-$27,820,958.00","-$54,446,327.50","-$307,618,639.50",Consumer Discretionary Equities,2006-09-21,0.46%,N/A,$1.87,2019-12-16,$0.74,1.47%,18.05,1.04,150,41.88%,35%,15%,1099,$122.73,$129.22,$127.43,$127.92,56.12,A-,B+,B+,B+,A-,B-,A,5.34,56.30%,46.10%,42.47,17.35%,1.94%
XRT,SPDR S&P Retail ETF,Equity,"$196,351,522.00",-1.96%,"3,526,155",$45.11,0.22%,No,No,0.02%,-0.79%,0.61%,7.83%,-0.98%,"-$21,166,567.00","$9,256,793.00","-$12,806,179.50","-$49,965,295.00","-$269,612,735.50","-$774,594,226.94",Consumer Discretionary Equities,2006-06-19,0.35%,N/A,$0.72,2019-12-20,$0.21,1.60%,14.15,1.03,88,16.56%,35%,15%,1099,$43.43,$45.68,$44.74,$45.40,52.88,A,A,A,B+,B+,B+,B+,4.24,29.41%,23.37%,22.44,1.26%,0.63%
CHIQ,Global X MSCI China Consumer Discretionary ETF,Equity,"$169,559,629.00",3.24%,"93,105",$19.10,1.33%,No,No,0.58%,-0.21%,25.44%,57.34%,61.37%,"$1,703,979.00",$0.00,"-$6,233,030.50","$5,001,261.50","$82,694,634.50","$58,793,238.00",China Equities,2009-11-30,0.65%,2 Platforms,$0.19,2019-12-30,$0.14,1.02%,23.70,1.29,67,54.44%,35%,15%,1099,$17.17,$19.40,$18.99,$19.17,56.63,B-,A-,C+,C,B-,A-,B-,3.17,28.95%,10.03%,55.37,0.00%,4.03%
