Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$14,261,245,982.00",2.40%,"10,580,884",$64.49,-0.11%,No,No,0.36%,0.62%,21.29%,28.68%,48.11%,"$354,472,828.00","-$51,774,323.00","$607,599,780.00","$2,137,933,428.00","$4,275,518,396.00","$1,359,199,405.75",Consumer Staples Equities,1998-12-16,0.13%,N/A,$1.62,2019-12-20,$0.51,2.51%,20.86,0.58,34,71.20%,35%,15%,1099,$63.08,$64.92,N/A,N/A,61.00,A,A+,A,B,A-,A,B+,6.95,81.58%,85.20%,59.49,13.48%,16.82%
VDC,Vanguard Consumer Staples ETF,Equity,"$5,732,552,382.00",1.77%,"104,494",$164.05,-0.05%,No,No,0.26%,0.39%,18.91%,26.32%,45.49%,"$32,020,129.00",$0.00,"$12,165,379.00","$510,372,288.41","$1,460,605,108.50","$2,033,017,060.00",Consumer Staples Equities,2004-01-30,0.10%,Vanguard,$3.94,2019-12-16,$1.06,2.40%,26.10,0.60,94,65.58%,35%,15%,1099,$160.43,$165.23,N/A,N/A,59.92,A+,A-,A,B+,A+,A+,A-,6.68,68.42%,80.85%,62.58,12.40%,16.77%
IEV,iShares Europe ETF,Equity,"$1,783,019,956.00",-0.26%,"270,568",$46.84,0.58%,No,No,-0.57%,-0.49%,13.95%,26.89%,20.72%,"$27,930,894.00",$0.00,"$27,930,894.00","-$428,417,113.50","-$785,679,913.50","-$934,697,438.50",Europe Equities,2000-07-25,0.59%,Fidelity,$1.44,2019-12-16,$0.31,3.08%,16.56,0.84,363,19.15%,35%,15%,1099,$45.60,$47.38,$46.76,$46.89,54.01,A-,A-,C+,B,A-,B+,A,7.85,52.30%,94.98%,150.25,14.29%,5.44%
KXI,iShares Global Consumer Staples ETF,Equity,"$778,652,678.00",1.34%,"54,984",$56.22,0.27%,No,No,0.29%,-0.33%,15.66%,24.30%,35.74%,"-$47,573,360.50",$0.00,"-$42,050,262.50","-$53,964,105.00","$598,735,463.00","$503,046,047.50",Consumer Staples Equities,2006-09-21,0.46%,N/A,$1.20,2019-12-16,$0.60,2.14%,23.38,0.57,91,47.58%,35%,15%,1099,$55.42,$56.58,$56.15,$56.35,56.73,A-,B+,B,B,A,B+,A,6.77,69.74%,82.35%,55.43,21.55%,11.83%
FSTA,Fidelity MSCI Consumer Staples Index ETF,Equity,"$633,286,385.00",2.20%,"99,298",$38.52,-0.08%,No,No,0.42%,0.42%,20.10%,27.45%,45.83%,"$37,475,575.50",$0.00,"$5,775,259.50","$84,640,425.50","$297,098,115.50","$305,210,217.50",Consumer Staples Equities,2013-10-21,0.08%,Fidelity,$0.93,2019-12-20,$0.25,2.41%,23.93,0.60,90,69.99%,35%,15%,1099,$37.61,$38.79,N/A,N/A,60.60,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.82,72.37%,83.21%,60.01,14.26%,16.26%
IYK,iShares U.S. Consumer Goods ETF,Equity,"$551,525,070.00",4.90%,"15,273",$139.70,0.50%,No,No,0.85%,1.79%,22.69%,26.98%,46.40%,"$26,837,131.00",$0.00,"$6,872,665.00","$14,502,928.00","-$84,711,157.00","-$261,562,461.50",Consumer Staples Equities,2000-06-12,0.42%,N/A,$2.94,2019-12-16,$0.84,2.12%,21.89,0.75,106,57.60%,35%,15%,1099,$134.03,$140.49,$139.51,$140.09,67.93,A-,B+,B,B+,B+,B,A,5.75,51.32%,56.52%,55.21,12.17%,16.72%
RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF,Equity,"$503,366,940.00",1.45%,"19,592",$148.06,-0.20%,No,No,-0.33%,0.18%,18.91%,26.12%,50.90%,"-$14,611,780.00",$0.00,"-$7,333,037.00","$14,378,594.50","-$114,833,575.50","$69,619,039.50",Consumer Staples Equities,2006-11-07,0.40%,Charles Schwab,$3.09,2019-12-23,$0.80,2.08%,18.53,0.60,34,32.43%,35%,15%,1099,$145.08,$149.64,$147.87,$148.44,58.16,A,B,B+,A-,A,A,B,5.54,48.68%,50.72%,68.07,15.30%,15.41%
FXG,First Trust Consumer Staples AlphaDEX Fund,Equity,"$288,279,089.00",-3.21%,"56,263",$48.44,-0.49%,No,No,-1.27%,-2.17%,7.88%,9.40%,17.76%,"-$4,192,710.00","-$19,562,264.00","-$31,708,415.00","-$59,481,753.50","-$394,199,385.50","-$2,345,877,698.73",Consumer Staples Equities,2007-05-08,0.64%,N/A,$0.82,2019-12-13,$0.26,1.68%,23.10,0.66,37,44.12%,35%,15%,1099,$47.82,$49.57,$48.32,$48.67,45.12,B+,A,C+,A+,B+,B,B-,6.57,67.11%,77.98%,94.98,13.20%,9.93%
ECON,Columbia Emerging Markets Consumer ETF,Equity,"$239,119,607.00",2.00%,"30,184",$23.95,0.97%,No,No,-0.68%,-0.79%,8.18%,2.98%,-4.73%,"-$11,835,640.00",$0.00,"-$7,110,924.00","-$71,565,928.00","-$447,180,270.50","-$776,970,715.50",Emerging Markets Equities,2010-09-14,0.59%,N/A,$0.39,2019-12-20,$0.39,1.66%,20.98,0.85,60,42.82%,35%,15%,1099,$22.92,$24.32,$23.91,$24.00,54.73,C,A,C,C+,B-,C,C+,4.14,26.22%,21.72%,61.14,4.33%,7.76%
PSL,Invesco DWA Consumer Staples Momentum ETF,Equity,"$170,194,320.00",2.06%,"13,377",$75.62,0.35%,No,No,1.04%,0.09%,10.07%,36.06%,48.48%,"-$22,358,726.00",$0.00,"-$3,776,213.00","-$18,760,849.00","$60,011,669.50","$62,355,244.50",Consumer Staples Equities,2006-10-12,0.60%,N/A,$0.35,2019-12-23,$0.13,0.46%,24.15,0.51,33,44.64%,35%,15%,1099,$73.26,$75.90,$75.48,$75.76,60.08,B+,B-,B-,A-,A-,A-,B+,4.19,42.11%,22.55%,67.7,6.29%,14.18%
VMOT,Alpha Architect Value Momentum Trend ETF,Equity,"$71,135,400.00",1.91%,"15,161",$25.41,0.59%,No,No,-0.36%,-0.95%,3.00%,N/A,N/A,"-$7,538,235.00",$0.00,"-$2,469,620.00","-$30,429,780.00","$80,920,235.00","$80,920,235.00",Global Equities,2017-05-03,2.48%,N/A,$0.44,2019-12-30,$0.36,1.73%,14.06,0.74,5,100.00%,39%,20%,1099,$24.53,$25.79,$25.30,$25.49,55.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PBJ,Invesco Dynamic Food & Beverage ETF,Equity,"$68,996,358.00",-2.34%,"6,911",$33.64,-0.47%,No,No,-0.13%,-1.92%,3.70%,3.52%,14.97%,"-$1,719,041.00",$0.00,"$1,660,109.00","-$3,156,339.00","-$74,390,002.00","-$196,863,655.50",Consumer Staples Equities,2005-06-23,0.63%,N/A,$0.42,2019-12-23,$0.12,1.23%,25.98,0.60,31,47.90%,35%,15%,1099,$32.99,$34.29,$33.57,$33.76,47.98,B+,A-,C+,A,B,B-,B-,4.53,43.42%,30.88%,84.23,7.30%,7.60%
WBIE,WBI Bull|Bear Rising Income 1000 ETF,Equity,"$52,950,883.00",2.39%,"7,045",$28.67,0.92%,No,No,1.06%,1.10%,9.15%,25.56%,15.58%,"-$2,811,150.00",$0.00,$0.00,"$4,387,360.22","-$15,360,554.78","-$75,909,944.78",Large Cap Growth Equities,2014-08-25,1.13%,N/A,$0.17,2019-09-17,$0.03,0.60%,19.91,0.72,35,45.28%,35%,15%,1099,$27.34,$28.75,$28.61,$28.71,60.89,B-,B-,C,C,A+,B,C,4.95,18.00%,38.04%,48.99,1.81%,5.41%
WBIL,WBI Bull|Bear Quality 1000 ETF,Equity,"$48,078,874.00",2.00%,"7,000",$27.83,0.69%,No,No,1.16%,0.05%,7.97%,17.25%,16.60%,"-$2,748,270.00",$0.00,$0.00,"$9,293,618.41","-$26,887,271.59","-$69,176,466.59",Large Cap Growth Equities,2014-08-25,1.21%,N/A,$0.13,2019-09-17,$0.03,0.48%,20.66,0.65,34,46.85%,35%,15%,1099,$26.67,$27.98,$27.80,$27.85,59.75,B-,B,C,N/A,A+,C,N/A,5.16,26.06%,42.49%,35.61,0.88%,8.32%
PSCC,Invesco S&P SmallCap Consumer Staples ETF,Equity,"$43,921,062.00",-8.01%,"3,594",$73.31,-0.54%,No,No,-1.93%,-5.55%,-4.83%,11.36%,46.22%,"-$4,092,641.50",$0.00,"-$100,759.00","-$22,494,979.50","-$21,025,932.50","-$4,887,894.50",Consumer Staples Equities,2010-04-07,0.29%,N/A,$1.41,2019-12-23,$0.47,1.91%,26.61,0.83,24,64.36%,35%,15%,1099,$71.97,$77.22,$72.88,$73.66,38.48,B-,B-,A-,A,B,C+,C,2.5,22.37%,5.28%,84.0,10.28%,22.10%
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,Equity,"$36,560,942.00",0.06%,"4,685",$23.51,0.69%,No,No,-1.09%,-2.56%,11.61%,17.98%,5.86%,$0.00,$0.00,$0.00,"$844,171.00","$13,183,807.50","$20,516,155.50",Foreign Large Cap Equities,2013-09-27,0.32%,E*TRADE,$0.65,2019-12-23,$0.10,2.77%,16.58,0.89,215,20.29%,35%,15%,1099,$22.58,$24.13,$23.38,$23.58,51.92,B,C+,B,C+,C+,B+,B+,3.78,13.33%,16.75%,200.41,5.09%,7.09%
CLIX,ProShares Long Online/Short Stores ETF,Alternatives,"$34,774,410.00",11.73%,"6,542",$54.78,-1.17%,No,No,-0.61%,3.39%,13.99%,N/A,N/A,"$1,631,247.90",$0.00,"$2,631,930.10","-$16,243,207.00","$15,792,251.75","$15,792,251.75",Long-Short,2017-11-14,0.65%,N/A,$0.00,N/A,N/A,0.00%,26.97,1.08,25,75.40%,39%,20%,1099,$51.07,$55.72,N/A,N/A,63.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.9,4.40%,18.33%,8.04,22.49%,0.28%
JHMS,John Hancock Multifactor Consumer Staples ETF,Equity,"$31,201,542.00",1.76%,"2,111",$30.60,-0.20%,No,No,0.27%,0.46%,18.62%,25.31%,N/A,$0.00,$0.00,$0.00,"$2,080,747.70","$11,997,557.00","$22,695,304.50",Consumer Staples Equities,2016-03-28,0.40%,N/A,$0.66,2019-12-24,$0.37,2.14%,24.70,0.60,49,48.84%,39%,20%,1099,$29.83,$30.81,$30.57,$30.66,62.45,N/A,N/A,B-,N/A,N/A,N/A,N/A,6.25,59.21%,71.12%,78.42,17.70%,14.42%
ACT,AdvisorShares Vice ETF,Equity,"$12,298,156.00",3.09%,"2,418",$25.84,0.74%,No,No,0.65%,0.73%,7.51%,N/A,N/A,$0.00,$0.00,$0.00,"-$1,825,297.25","$8,644,641.25","$8,644,641.25",All Cap Equities,2017-12-12,0.99%,N/A,$0.62,2019-12-27,$0.62,2.42%,21.11,0.89,31,52.73%,39%,20%,1099,$24.43,$26.02,$25.70,$25.92,62.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.57,0.00%,51.59%,46.36,64.42%,5.58%
EMTY,ProShares Decline of the Retail Store ETF,Equity,"$8,874,472.00",5.85%,"4,924",$35.49,-0.59%,Yes,No,1.16%,2.48%,6.65%,N/A,N/A,"-$2,516,376.00",$0.00,$0.00,"$4,276,552.75","$104,803.50","$104,803.50",Inverse Equities,2017-11-14,0.65%,N/A,$0.28,2019-12-24,$0.09,0.77%,0.00,-1.06,N/A,N/A,39%,20%,1099,$34.53,$36.45,$35.38,$35.63,52.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IECS,iShares Evolved U.S. Consumer Staples ETF,Equity,"$8,825,538.00",3.08%,"2,394",$29.45,0.03%,No,No,0.01%,0.26%,21.11%,N/A,N/A,$0.00,$0.00,$0.00,"$4,122,787.00","$4,121,173.50","$4,121,173.50",Consumer Staples Equities,2018-03-21,0.18%,N/A,$0.65,2019-12-16,$0.24,2.22%,23.63,0.62,131,55.65%,39%,20%,1099,$28.85,$29.65,$29.42,$29.50,62.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.02,55.26%,65.03%,78.51,14.70%,12.38%
