Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLE,Energy Select Sector SPDR Fund,Equity,"$9,884,353,188.00",-8.64%,"15,152,468",$54.85,1.33%,No,No,-0.35%,-4.61%,-9.89%,-11.60%,-17.35%,"$128,401,893.00","$140,904,832.50","$39,182,164.00","-$1,503,162,353.00","-$3,488,990,152.00","$1,299,680,554.50",Energy Equities,1998-12-16,0.13%,N/A,$5.23,2019-12-30,$3.58,9.67%,19.73,1.20,29,75.35%,35%,15%,1099,$52.46,$57.14,$54.34,$55.22,44.75,A,A+,A,B,A,A-,B,5.9,70.59%,60.86%,437.48,0.00%,0.14%
AMLP,Alerian MLP ETF,Equity,"$6,981,619,437.00",-6.42%,"28,007,140",$7.77,-0.77%,No,No,-1.68%,-6.09%,-15.78%,-23.86%,-31.29%,"-$323,641,362.50","-$1,580,000.00","-$131,680,381.00","-$252,341,687.50","$495,238,964.00","$4,173,776,061.59",MLPs,2010-08-24,0.85%,N/A,$0.77,2020-02-13,$0.19,9.86%,10.57,1.03,21,77.00%,35%,15%,1099,$7.63,$8.24,$7.72,$7.84,40.38,A,A+,A-,C+,A-,B+,B+,1.88,5.59%,2.48%,442.29,0.00%,0.00%
VDE,Vanguard Energy ETF,Equity,"$3,177,448,712.00",-9.99%,"555,308",$73.35,1.34%,No,No,-0.41%,-5.31%,-15.37%,-19.15%,-25.84%,"$307,042,500.00","$90,020,000.00","$272,894,500.00","$215,201,238.83","-$11,676,693.92","$1,088,543,004.12",Energy Equities,2004-09-23,0.10%,Vanguard,$2.78,2019-12-16,$0.76,3.85%,14.20,1.24,131,68.94%,35%,15%,1099,$70.25,$76.87,$72.68,$73.84,42.38,A,A-,A,B,A-,A,A,5.51,55.29%,49.88%,441.47,0.00%,0.26%
EMLP,First Trust North American Energy Infrastructure Fund,Equity,"$2,913,564,335.00",3.18%,"706,290",$26.30,-0.23%,No,No,0.80%,1.04%,13.54%,16.87%,14.74%,"$2,449,525.00",$0.00,"-$9,127,419.50","$386,028,404.00","$1,166,587,769.00","$1,704,810,124.00",Large Cap Blend Equities,2012-06-20,0.95%,N/A,$0.94,2019-12-13,$0.26,3.58%,15.14,0.62,47,53.02%,35%,15%,1099,$25.60,$26.34,$26.26,$26.39,63.98,B+,A-,C+,B,B+,C+,A+,5.53,57.34%,50.53%,1442.43,26.85%,6.05%
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity,"$2,542,538,448.00",-19.28%,"29,081,402",$19.13,2.96%,No,No,0.31%,-9.55%,-37.18%,-49.88%,-61.65%,"$372,276,746.50","-$36,812,815.50","$422,451,673.50","$1,510,646,268.50","$2,252,534,236.50","$2,814,320,036.50",Energy Equities,2006-06-19,0.35%,N/A,$0.35,2019-12-20,$0.10,1.87%,11.41,1.62,58,29.84%,35%,15%,1099,$18.11,$20.84,$18.83,$19.33,39.39,B+,A,A-,B+,C+,C+,A-,3.57,11.18%,14.29%,585.9,0.00%,0.76%
AMJ,JPMorgan Alerian MLP Index ETN,Equity,"$2,444,188,600.00",-6.37%,"3,139,842",$20.42,-0.58%,No,No,-1.64%,-5.72%,-17.34%,-29.48%,-40.23%,$0.00,$0.00,$0.00,$0.00,$0.00,"-$130,250,000.00",MLPs,2009-04-02,0.85%,N/A,$1.35,2019-08-27,$0.47,6.59%,0.00,1.09,36,59.53%,35%,15%,1099,$20.03,$21.64,$20.30,$20.62,40.51,A-,A,A-,A,C,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MLPA,Global X MLP ETF,Equity,"$1,037,295,903.00",-6.89%,"2,312,106",$7.16,-0.83%,No,No,-2.05%,-6.77%,-12.36%,-22.71%,-31.92%,"$31,999,000.00","-$13,183,546.00","$6,820,853.00","$354,623,021.00","$980,080,753.00","$1,358,974,179.50",MLPs,2012-04-18,0.45%,2 Platforms,$0.72,2020-02-07,$0.18,9.94%,14.03,1.07,21,66.97%,35%,15%,1099,$7.04,$7.66,$7.12,$7.23,39.16,A-,B,C,B-,A,A,A,1.95,6.29%,2.74%,421.81,0.00%,0.00%
MLPX,Global X MLP & Energy Infrastructure ETF,Equity,"$777,434,153.00",-3.26%,"847,035",$11.69,0.60%,No,No,0.34%,-1.90%,-4.67%,-8.14%,-19.79%,"-$26,399.00","-$6,994,740.00","-$14,289,679.50","$78,421,961.00","$714,904,257.50","$735,565,443.50",MLPs,2013-08-06,0.45%,2 Platforms,$0.73,2020-02-07,$0.19,6.29%,17.15,1.16,32,69.11%,35%,15%,1099,$11.39,$11.92,$11.63,$11.75,49.13,N/A,N/A,A,N/A,N/A,N/A,N/A,3.47,23.78%,13.16%,599.74,9.19%,0.25%
IXC,iShares Global Energy ETF,Equity,"$770,644,062.00",-7.85%,"459,929",$28.41,1.07%,No,No,-0.80%,-5.14%,-9.44%,-2.91%,-9.16%,"-$8,297,046.00",$0.00,"-$13,256,967.00","-$254,774,995.50","$30,236,400.00","$110,974,474.50",Energy Equities,2001-11-16,0.46%,N/A,$2.16,2019-12-16,$1.48,7.69%,13.32,1.04,62,55.99%,35%,15%,1099,$27.33,$29.80,$28.22,$28.56,42.13,A-,A-,B,B-,A,A-,A,6.66,88.24%,80.68%,450.13,2.36%,0.86%
ICLN,iShares Global Clean Energy ETF,Equity,"$701,703,366.00",20.34%,"691,094",$14.14,5.60%,No,No,5.37%,14.12%,48.36%,73.22%,49.46%,"$118,964,511.00","$17,365,213.00","$73,843,711.00","$296,415,302.00","$398,430,079.00","$427,467,055.00",Alternative Energy Equities,2008-06-24,0.46%,N/A,$0.16,2019-12-16,$0.08,1.20%,20.64,0.92,30,51.88%,35%,15%,1099,$11.77,$13.74,$13.84,$14.29,79.73,A-,A-,A+,B,B,A-,B+,6.39,82.94%,74.48%,226.73,0.00%,73.92%
OIH,VanEck Vectors Oil Services ETF,Equity,"$680,259,178.00",-15.40%,"10,145,790",$11.21,1.63%,No,No,-1.75%,-7.58%,-35.26%,-62.80%,-65.82%,"-$6,322,042.50","$11,360,379.00","$144,548,249.50","-$57,969,475.00","$417,442,952.00","$585,707,651.34",Energy Equities,2011-12-20,0.35%,N/A,$0.29,2019-12-23,$0.29,2.63%,18.03,1.76,25,69.01%,35%,15%,1099,$10.64,$11.91,$11.09,$11.28,42.78,B+,A,A-,B+,B,B+,C,4.18,20.00%,22.40%,161.96,0.00%,0.13%
TAN,Invesco Solar ETF,Equity,"$670,208,840.00",32.27%,"261,968",$40.74,8.06%,No,No,6.26%,22.16%,70.24%,126.01%,14.80%,"$62,556,417.60","$9,164,191.20","$28,572,068.00","$128,084,256.00","$141,932,928.00","$203,826,002.40",Alternative Energy Equities,2008-04-15,0.71%,N/A,$0.09,2019-12-23,$0.09,0.24%,32.25,1.28,23,63.13%,35%,15%,1099,$30.35,$39.33,$39.48,$41.41,78.06,B,A,B-,A,C,A+,C+,4.72,30.00%,34.00%,282.37,0.00%,65.08%
ERUS,iShares MSCI Russia ETF,Equity,"$635,738,939.00",-1.03%,"237,073",$42.22,1.39%,No,No,-1.08%,-5.36%,33.86%,49.25%,88.28%,"$28,378,582.00",$0.00,$0.00,"-$71,422,054.50","$36,731,567.00","$135,626,390.00",Emerging Markets Equities,2010-11-09,0.59%,N/A,$3.14,2019-12-16,$2.50,7.57%,6.17,0.86,24,71.64%,35%,15%,1099,$40.66,$44.35,$42.14,$42.32,49.19,B+,A-,B,A+,C,A-,C,4.63,57.31%,32.43%,939.67,0.00%,0.66%
IYE,iShares U.S. Energy ETF,Equity,"$516,926,860.00",-9.31%,"564,040",$29.13,1.29%,No,No,-0.38%,-4.96%,-13.92%,-16.98%,-24.74%,"-$48,207,866.50","$2,904,709.50","-$14,626,711.00","-$170,252,318.00","-$541,426,979.00","-$405,044,000.50",Energy Equities,2000-06-12,0.42%,N/A,$2.12,2019-12-16,$1.31,7.37%,13.37,1.21,50,71.63%,35%,15%,1099,$27.88,$30.46,$28.86,$29.31,42.93,A,A,B+,B,A-,A-,A-,5.73,65.29%,56.23%,481.95,0.00%,0.53%
