Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLF,Financial Select Sector SPDR Fund,Equity,"$25,150,519,593.00",1.14%,"38,115,056",$31.13,0.74%,No,No,-0.03%,0.87%,20.01%,34.41%,71.80%,"$596,896,474.00","-$34,306,623.00","-$1,117,276,057.50","-$2,198,930,212.50","-$4,507,849,609.50","$1,888,926,318.58",Financials Equities,1998-12-16,0.13%,N/A,$0.57,2019-12-20,$0.16,1.86%,13.92,1.14,67,54.63%,35%,15%,1099,$29.92,$31.51,$31.00,$31.24,56.58,A,A+,A,A-,B+,B-,B+,4.18,30.40%,22.38%,39.48,12.57%,0.24%
VFH,Vanguard Financials ETF,Equity,"$8,131,974,547.00",1.40%,"377,031",$77.35,0.66%,No,No,-0.10%,0.94%,18.55%,31.90%,72.82%,"$71,501,841.04","-$3,881,750.00","$2,120,998.40","$67,142,927.12","$1,113,738,850.16","$3,255,801,021.14",Financials Equities,2004-01-30,0.10%,Vanguard,$1.66,2019-12-16,$0.46,2.15%,14.00,1.12,423,42.30%,35%,15%,1099,$74.29,$78.35,$77.10,$77.58,56.86,A+,A-,A,B,A-,B+,A+,3.87,18.94%,17.98%,24.6,6.94%,0.27%
FXO,First Trust Financials AlphaDEX Fund,Equity,"$2,026,377,854.00",2.45%,"236,261",$34.33,0.00%,No,No,-0.03%,1.27%,12.70%,28.16%,59.07%,"$16,667,762.00",$0.00,"-$15,137,951.00","$850,538,042.00","$722,279,758.00","$1,005,623,735.68",Financials Equities,2007-05-08,0.63%,N/A,$0.58,2019-12-13,$0.24,1.68%,12.95,1.03,186,10.07%,35%,15%,1099,$32.94,$34.77,N/A,N/A,59.12,A,A,C+,B,A,B,A,3.72,17.18%,16.05%,24.62,0.55%,1.89%
IYF,iShares U.S. Financials ETF,Equity,"$1,901,927,930.00",3.79%,"144,227",$143.00,0.26%,No,No,0.33%,1.83%,21.95%,41.57%,73.40%,"$41,731,466.00",$0.00,"$21,151,681.00","-$246,329,383.50","-$688,132,084.00","-$156,404,263.50",Financials Equities,2000-05-31,0.42%,N/A,$2.27,2019-12-16,$0.54,1.59%,19.60,1.01,284,40.22%,35%,15%,1099,$136.63,$144.24,$142.81,$143.29,62.75,A-,A,B,B+,B+,C,A,4.4,38.77%,26.14%,49.11,7.58%,2.48%
FAS,Direxion Daily Financial Bull 3X Shares,Equity,"$1,683,337,210.00",12.54%,"530,242",$106.51,1.01%,No,3x,1.99%,5.65%,71.76%,131.04%,247.33%,"-$25,493,139.00","-$5,226,406.00","-$5,349,579.00","-$684,150,432.00","-$1,033,522,714.50","-$1,560,545,934.96",Leveraged Equities,2008-11-06,1.00%,N/A,$0.58,2019-12-23,$0.11,0.55%,17.84,3.11,250,39.60%,35%,15%,1099,$92.82,$108.46,$105.83,$107.32,63.39,A-,A,B-,C+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBE,SPDR S&P Bank ETF,Equity,"$1,679,509,822.00",-3.79%,"1,414,248",$45.50,0.60%,No,No,-0.89%,-1.62%,2.97%,6.33%,51.46%,"-$22,242,059.00","$2,353,917.00","-$106,812,993.50","-$759,059,534.50","-$1,652,934,715.50","-$1,517,637,214.44",Financials Equities,2005-11-15,0.35%,N/A,$1.10,2019-12-20,$0.33,2.44%,11.83,1.35,91,19.09%,35%,15%,1099,$44.37,$46.62,N/A,N/A,47.69,A,A,A-,B+,B+,B,B,4.19,30.84%,22.49%,8.27,0.00%,1.13%
KRE,SPDR S&P Regional Banking ETF,Equity,"$1,618,248,917.00",-4.00%,"5,638,737",$55.92,0.83%,No,No,-0.71%,-1.64%,1.17%,2.57%,53.68%,"-$202,896,384.00","-$180,433,732.50","-$41,615,996.50","-$974,325,083.50","-$1,711,132,474.50","$12,425,062.32",Financials Equities,2006-06-19,0.35%,N/A,$1.29,2019-12-20,$0.36,2.32%,12.21,1.33,123,29.25%,35%,15%,1099,$54.43,$57.24,N/A,N/A,48.22,A-,A,A,B-,B+,B-,B+,4.46,41.41%,29.39%,9.49,0.00%,1.44%
IYG,iShares U.S. Financial Services ETF,Equity,"$1,428,355,260.00",2.81%,"62,429",$156.08,0.85%,No,No,0.45%,1.01%,24.46%,45.06%,87.38%,"-$41,445.00",$0.00,$0.00,"-$368,171,791.00","-$139,487,680.50","$218,874,279.00",Financials Equities,2000-06-21,0.42%,N/A,$2.41,2019-12-16,$0.66,1.56%,15.80,1.24,121,59.37%,35%,15%,1099,$149.37,$157.36,$155.54,$156.59,59.38,B+,A-,B-,A,B,C,A-,4.47,41.85%,29.65%,6.71,0.00%,0.23%
FNCL,Fidelity MSCI Financials Index ETF,Equity,"$1,100,177,382.00",1.28%,"116,665",$44.99,0.58%,No,No,-0.13%,0.87%,18.55%,31.89%,72.63%,"$7,388.50",$0.00,"-$8,893,962.00","-$226,808,905.50","$143,528,131.00","$630,122,388.00",Financials Equities,2013-10-21,0.08%,Fidelity,$0.96,2019-12-20,$0.23,2.15%,13.30,1.11,360,42.85%,35%,15%,1099,$43.20,$45.59,$44.86,$45.11,56.88,N/A,N/A,A+,N/A,N/A,N/A,A,3.88,19.82%,18.11%,24.58,6.95%,0.27%
KIE,SPDR S&P Insurance ETF,Equity,"$918,091,409.00",5.39%,"219,610",$37.34,-0.13%,No,No,0.38%,3.82%,20.41%,35.28%,81.96%,"-$36,203,898.00","-$3,721,032.00","-$25,544,410.00","$63,814,760.50","$249,864,808.50","$824,681,252.00",Financials Equities,2005-11-15,0.35%,N/A,$0.62,2019-12-23,$0.17,1.67%,13.05,0.84,51,24.10%,35%,15%,1099,$34.94,$37.97,N/A,N/A,64.25,A,A-,B+,A-,A,B,B,2.95,8.81%,7.92%,3.65,0.00%,0.00%
