Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLV,Health Care Select Sector SPDR Fund,Equity,"$20,858,324,146.00",2.14%,"7,452,990",$104.04,0.46%,No,No,-0.29%,-0.66%,15.17%,49.37%,58.98%,"$354,424,988.50","-$36,176,304.50","$340,862,411.50","-$854,853,326.50","-$655,360,734.50","$1,940,005,568.84",Health & Biotech Equities,1998-12-16,0.13%,N/A,$2.45,2019-12-30,$1.33,2.37%,17.30,0.90,61,50.78%,35%,15%,1099,$100.07,$105.71,$103.78,$104.24,58.39,A,A+,A,B+,B+,A-,B+,5.56,69.43%,51.20%,17.76,0.00%,13.57%
VHT,Vanguard Healthcare ETF,Equity,"$10,401,131,227.00",2.86%,"224,566",$197.23,0.55%,No,No,0.07%,0.07%,15.64%,51.72%,61.28%,"$125,201,040.24",$0.00,"$115,879,750.00","-$27,290,068.90","$1,735,230,738.71","$2,687,406,347.78",Health & Biotech Equities,2004-01-30,0.10%,Vanguard,$3.62,2019-12-16,$0.72,1.85%,25.40,0.94,384,42.97%,35%,15%,1099,$188.41,$199.70,$196.45,$197.77,60.05,A+,A,A+,A-,B+,A,A+,5.18,60.00%,42.77%,19.1,0.01%,13.82%
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$7,598,288,100.00",2.46%,"2,781,661",$123.48,0.78%,No,No,0.44%,2.43%,11.06%,26.70%,13.45%,"-$138,340,933.00","$622,587,840.00","-$39,148,957.00","-$1,307,675,630.50","$16,849,470,048.50","$18,069,922,542.50",Health & Biotech Equities,2001-02-05,0.47%,N/A,$0.21,2019-12-16,$0.06,0.17%,24.40,1.38,214,48.57%,35%,15%,1099,$113.90,$125.61,$122.89,$123.99,59.58,B+,A,B,A,C+,C+,A,4.16,27.17%,21.88%,22.23,0.12%,34.68%
IHI,iShares U.S. Medical Devices ETF,Equity,"$5,246,492,800.00",4.38%,"195,389",$275.91,0.67%,No,No,1.44%,-0.44%,24.01%,88.29%,138.92%,"$119,828,503.50","$68,507,005.00","$80,357,988.50","$1,109,856,478.00","$2,641,071,497.00","$2,891,793,817.50",Health & Biotech Equities,2006-05-05,0.43%,N/A,$0.88,2019-12-30,$0.04,0.32%,44.57,0.92,57,70.67%,35%,15%,1099,$267.13,$277.65,$274.71,$277.19,58.99,C+,B+,B+,C+,B+,B-,B-,5.19,60.75%,42.91%,21.25,0.00%,12.46%
XBI,SPDR S&P Biotech ETF,Equity,"$4,356,002,609.00",3.41%,"4,980,506",$98.35,0.76%,No,No,0.35%,4.09%,14.84%,42.30%,42.44%,"-$36,208,368.00","-$46,153,151.75","-$254,267,466.75","-$40,854,214.50","$426,065,234.50","$1,317,877,798.00",Health & Biotech Equities,2006-02-06,0.35%,N/A,$0.00,2019-12-20,$0.00,0.02%,17.99,1.68,123,19.89%,35%,15%,1099,$88.45,$99.98,$97.76,$98.85,60.04,B-,A,A-,B,C,C,B+,2.33,14.72%,4.37%,26.16,0.36%,20.83%
IYH,iShares U.S. Healthcare ETF,Equity,"$2,320,854,900.00",2.52%,"52,676",$221.16,0.48%,No,No,0.05%,-0.18%,14.83%,49.80%,58.11%,"$31,905,956.00",$0.00,"-$431,595.00","-$354,367,039.00","-$158,017,606.50","-$390,454,115.50",Health & Biotech Equities,2000-06-12,0.43%,N/A,$2.45,2019-12-16,$0.64,1.12%,28.46,0.91,120,46.61%,35%,15%,1099,$211.81,$224.01,$220.72,$221.48,59.56,A-,B+,B,B+,B+,B+,A,5.27,63.77%,44.68%,18.94,0.00%,14.33%
IXJ,iShares Global Healthcare ETF,Equity,"$2,179,410,590.00",2.87%,"102,624",$70.72,0.64%,No,No,-0.24%,-0.14%,17.97%,47.93%,47.69%,"$3,670,459.00",$0.00,"$14,003,796.00","-$215,662,736.00","$1,676,414,228.50","$1,657,517,361.50",Health & Biotech Equities,2001-11-13,0.46%,N/A,$0.98,2019-12-16,$0.48,1.39%,27.75,0.81,105,38.28%,35%,15%,1099,$68.17,$71.62,$70.57,$70.82,59.46,A-,B+,B,B,A,B,A,6.05,83.40%,65.73%,21.81,1.31%,14.03%
FBT,First Trust Amex Biotechnology Index,Equity,"$1,862,250,504.00",4.81%,"80,656",$155.87,0.93%,No,No,1.02%,3.82%,6.51%,52.47%,38.91%,"-$21,515,913.50",$0.00,"-$43,840,767.50","-$967,766,045.00","$703,344,972.50","-$391,113,671.89",Health & Biotech Equities,2006-06-23,0.57%,N/A,$0.00,2015-09-23,$0.02,0.00%,22.49,1.48,31,36.10%,35%,15%,1099,$140.92,$157.49,$155.10,$156.39,62.02,C,A-,C+,A,C+,C,C,2.75,17.74%,6.51%,26.81,0.00%,30.21%
FHLC,Fidelity MSCI Health Care Index ETF,Equity,"$1,825,260,015.00",2.75%,"165,045",$51.11,0.51%,No,No,0.06%,0.02%,15.51%,51.60%,60.82%,"$70,142,441.50",$0.00,"$4,987,074.00","-$14,637,897.50","$734,780,112.50","$925,489,815.00",Health & Biotech Equities,2013-10-21,0.08%,Fidelity,$0.58,2019-12-20,$0.09,1.15%,23.33,0.95,350,42.89%,35%,15%,1099,$48.84,$51.77,$51.00,$51.21,59.88,N/A,N/A,A,N/A,N/A,N/A,N/A,5.18,60.38%,42.85%,19.11,0.01%,13.85%
FXH,First Trust Health Care AlphaDEX Fund,Equity,"$1,190,479,322.00",6.34%,"69,760",$89.54,0.81%,No,No,1.40%,2.39%,16.74%,44.42%,41.21%,"-$25,270,438.00","$4,413,548.00","-$12,499,005.50","-$1,053,533,850.00","$25,403,776.00","-$1,497,740,268.75",Health & Biotech Equities,2007-05-08,0.62%,N/A,$0.00,2013-06-21,$0.01,0.00%,21.26,1.05,77,24.83%,35%,15%,1099,$82.74,$89.94,$89.16,$89.82,67.04,B+,A,C+,A-,A-,C+,A-,4.8,44.91%,35.23%,21.63,0.00%,16.50%
