Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLI,Industrial Select Sector SPDR Fund,Equity,"$11,989,004,481.00",3.27%,"10,317,814",$84.13,-0.04%,No,No,-1.29%,1.31%,13.47%,35.38%,61.77%,"$984,402,238.50","-$16,481,387.00","-$1,046,390,306.50","$352,890,128.00","-$2,133,115,358.00","-$198,827,623.00",Industrials Equities,1998-12-16,0.13%,N/A,$1.58,2019-12-20,$0.40,1.88%,19.07,1.16,71,43.36%,35%,15%,1099,$81.42,$85.50,$83.96,$84.44,55.36,A,A+,A,B,A-,A,B,6.03,63.54%,65.07%,166.5,35.33%,1.92%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$5,781,549,200.00",6.26%,"187,345",$235.98,-0.15%,No,No,-1.59%,3.09%,15.22%,62.64%,105.12%,"-$54,513,592.00",$0.00,"-$34,591,825.00","-$351,597,922.00","$1,381,861,432.50","$2,973,051,918.00",Industrials Equities,2006-05-05,0.42%,N/A,$3.41,2019-12-30,$0.57,1.44%,21.25,1.03,34,74.60%,35%,15%,1099,$226.13,$241.60,N/A,N/A,56.84,B,B+,B+,A,A,B-,C+,4.36,25.00%,25.38%,91.85,79.01%,0.23%
VIS,Vanguard Industrial ETF,Equity,"$3,668,917,576.00",3.28%,"87,881",$158.93,0.09%,No,No,-0.93%,1.27%,14.38%,33.67%,60.22%,"-$58,371,991.58",$0.00,"-$42,967,500.00","$16,086,141.63","$68,496,337.76","$611,573,896.19",Industrials Equities,2004-09-23,0.10%,Vanguard,$2.59,2019-12-16,$0.68,1.63%,21.60,1.18,352,33.58%,35%,15%,1099,$153.57,$161.14,$158.69,$159.38,56.43,A+,A,A,A-,A-,A,A+,5.83,55.21%,59.01%,172.61,29.43%,2.51%
XAR,SPDR S&P Aerospace & Defense ETF,Equity,"$2,314,501,399.00",7.52%,"272,739",$117.32,-0.01%,No,No,-1.54%,1.88%,23.43%,76.94%,113.16%,"$213,898,031.75",$0.00,"$34,844,663.25","$660,817,517.50","$1,250,045,145.50","$1,572,919,705.50",Industrials Equities,2011-09-28,0.35%,N/A,$0.81,2019-12-23,$0.13,0.69%,21.01,1.05,33,42.11%,35%,15%,1099,$112.83,$119.78,N/A,N/A,58.50,B+,B-,A-,A+,B+,A-,C+,6.17,69.79%,69.03%,120.78,66.40%,0.40%
PPA,Invesco Aerospace & Defense ETF,Equity,"$1,232,323,848.00",7.30%,"71,413",$73.36,-0.16%,No,No,-0.68%,2.02%,25.10%,71.67%,111.33%,"$43,160,716.50","$7,380,968.00","$14,600,084.00","$113,755,901.00","$302,139,747.50","$474,404,570.50",Industrials Equities,2005-10-26,0.59%,N/A,$0.65,2019-12-23,$0.14,0.89%,22.54,1.05,51,56.80%,35%,15%,1099,$70.81,$74.36,$73.20,$73.66,61.63,B+,A-,B-,A,A,B,B-,5.51,45.83%,49.95%,28.33,81.08%,0.36%
PHO,Invesco Water Resources ETF,Equity,"$1,216,491,170.00",6.29%,"82,369",$41.06,0.05%,No,No,0.29%,2.42%,25.68%,61.35%,66.02%,"$29,871,165.00","$4,092,129.00","$18,053,284.00","$126,708,360.50","$6,574,079.00","-$104,908,826.50",Water Equities ,2005-12-06,0.60%,N/A,$0.17,2019-12-23,$0.04,0.41%,24.72,1.04,36,60.14%,35%,15%,1099,$39.22,$41.29,$40.98,$41.18,67.43,A-,A+,A,A,B+,A-,B+,8.02,98.82%,96.31%,77.47,0.00%,14.55%
IYJ,iShares U.S. Industrials ETF,Equity,"$973,054,320.00",3.63%,"39,689",$173.72,0.33%,No,No,-0.27%,1.29%,16.96%,42.76%,69.76%,"-$50,932,611.50",$0.00,"-$25,611,070.00","-$47,053,432.00","-$534,972,878.50","-$315,360,376.50",Industrials Equities,2000-07-14,0.42%,N/A,$2.21,2019-12-16,$0.59,1.27%,22.26,1.15,206,31.76%,35%,15%,1099,$167.97,$175.60,$173.52,$174.11,58.03,A-,A,B+,B+,A-,C+,A,5.84,56.25%,59.46%,116.89,23.98%,1.96%
CGW,Invesco S&P Global Water Index ETF,Equity,"$767,851,912.00",6.10%,"67,619",$43.64,0.67%,No,No,0.46%,2.83%,28.40%,54.21%,68.27%,"$3,249,281.60",$0.00,$0.00,"$21,536,808.00","$50,806,162.40","$164,253,384.00",Water Equities ,2007-05-14,0.62%,Charles Schwab,$0.61,2019-12-23,$0.61,1.40%,21.64,0.77,51,52.73%,35%,15%,1099,$41.61,$43.74,$43.48,$43.75,67.99,A+,A,A-,A-,A+,A+,A+,7.46,95.29%,91.39%,276.45,1.39%,24.07%
FIW,First Trust ISE Water Index Fund,Equity,"$605,426,012.00",6.97%,"32,160",$64.13,0.44%,No,No,0.44%,2.90%,27.34%,59.10%,105.08%,"$27,818,608.50","$6,390,334.50","$9,483,268.50","$160,444,077.50","$184,645,727.50","$210,472,949.55",Water Equities ,2007-05-11,0.55%,N/A,$0.33,2019-12-13,$0.06,0.52%,29.21,1.04,37,38.51%,35%,15%,1099,$60.64,$64.46,$64.00,$64.28,67.55,A,A-,A+,A+,A,B+,A-,7.03,91.76%,86.13%,92.32,4.02%,16.57%
FIDU,Fidelity MSCI Industrials Index ETF,Equity,"$473,530,421.00",3.35%,"58,532",$43.45,0.02%,No,No,-0.96%,1.38%,14.78%,35.38%,62.23%,"$4,757.50",$0.00,"-$2,162,565.50","-$14,078,750.00","$59,450,521.50","$245,490,010.00",Industrials Equities,2013-10-21,0.08%,Fidelity,$0.73,2019-12-30,$0.03,1.68%,21.37,1.19,336,34.40%,35%,15%,1099,$42.00,$44.03,$43.37,$43.58,56.76,N/A,N/A,A+,N/A,N/A,N/A,N/A,5.99,60.42%,63.82%,153.78,30.29%,2.58%
