Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GDX,VanEck Vectors Gold Miners ETF,Equity,"$13,363,714,263.00",1.61%,"46,406,328",$29.75,1.78%,No,No,5.80%,3.16%,29.46%,22.47%,45.98%,"$261,890,241.50","-$28,293,650.00","-$207,054,256.50","-$301,090,403.00","-$772,031,861.50","$2,987,872,246.00",Materials,2006-05-22,0.53%,N/A,$0.19,2019-12-23,$0.19,0.64%,30.07,-0.17,48,61.54%,35%,15%,1099,$27.81,$29.41,$29.37,$29.96,59.62,B+,A+,A-,C+,C+,B+,B-,6.12,47.92%,67.76%,415.39,4.88%,0.00%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$5,154,561,144.00",4.21%,"13,871,200",$44.04,3.23%,No,No,8.71%,5.97%,28.79%,7.78%,75.57%,"-$178,432,325.00","$40,476,690.00","-$16,766,059.00","-$538,294,106.00","-$511,809,225.00","$2,253,029,161.40",Materials,2009-11-10,0.54%,N/A,$0.16,2019-12-23,$0.16,0.38%,33.19,-0.13,68,49.08%,35%,15%,1099,$39.71,$42.62,$43.21,$44.47,63.41,B,A,B+,C,C,A-,B+,4.91,18.75%,37.40%,530.68,4.50%,0.00%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$5,121,038,853.00",-4.89%,"669,940",$31.89,0.73%,No,No,-0.65%,-3.63%,1.33%,14.84%,14.61%,"-$132,364,690.50",$0.00,"-$85,671,989.00","-$354,347,971.00","$803,751,818.00","$2,369,482,470.78",Commodity Producers Equities,2011-09-16,0.46%,N/A,$1.09,2019-12-20,$0.21,3.45%,21.41,0.90,118,33.79%,35%,15%,1099,$30.95,$32.81,$31.81,$31.97,46.49,A,A,A-,A-,A-,B,A,5.35,44.12%,46.22%,502.42,9.82%,5.40%
XLB,Materials Select Sector SPDR ETF,Equity,"$4,258,156,884.00",-1.47%,"6,088,061",$60.52,0.27%,No,No,-0.33%,0.46%,12.71%,22.69%,29.52%,"$604,959,657.00","$12,384,115.00","$223,666,732.50","-$167,632,804.00","$86,142,869.50","$862,597,111.76",Materials,1998-12-16,0.13%,N/A,$1.21,2019-12-20,$0.33,2.01%,20.38,1.16,29,66.47%,35%,15%,1099,$58.13,$61.59,$60.40,$60.69,53.19,A,A+,A,B+,A+,B+,B-,6.01,64.71%,64.47%,841.41,2.87%,1.83%
VAW,Vanguard Materials ETF,Equity,"$1,965,653,943.00",-2.21%,"56,027",$131.17,0.21%,No,No,-0.32%,-0.03%,8.93%,16.10%,27.78%,"-$2,886,000.00","-$9,863,250.00","-$22,533,750.00","-$70,230,413.38","-$188,297,246.72","$466,589,408.63",Materials,2004-01-30,0.10%,Vanguard,$2.60,2019-12-16,$0.69,1.98%,20.40,1.23,115,52.07%,35%,15%,1099,$126.56,$133.45,$131.01,$131.46,51.85,A+,A-,A+,A-,A,A-,A,5.31,39.71%,45.39%,751.33,3.11%,2.13%
NUGT,Direxion Daily Gold Miners Bull 3X Shares,Equity,"$1,600,554,875.00",1.29%,"10,566,669",$35.29,5.60%,No,3x,17.75%,7.66%,59.18%,-26.91%,-70.65%,"-$11,152,974.00","$8,627,041.00","$1,505,276.00","-$659,345,999.50","-$1,486,708,551.29","-$485,625,597.27",Leveraged Equities,2010-12-08,1.23%,N/A,$0.22,2019-12-23,$0.14,0.65%,26.90,-0.44,2,100.00%,35%,15%,1099,$28.95,$34.44,$33.98,$35.97,58.81,C+,A,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITB,iShares U.S. Home Construction ETF,Equity,"$1,545,905,830.00",12.27%,"2,246,737",$49.87,0.40%,No,No,0.34%,3.62%,41.62%,71.21%,84.45%,"$374,311,311.00","$64,769,141.00","$283,978,587.50","-$102,615,659.50","-$643,224,271.00","-$1,353,179,041.50",Building & Construction ,2006-05-01,0.42%,N/A,$0.22,2019-12-16,$0.06,0.45%,15.11,1.04,45,66.10%,35%,15%,1099,$47.55,$50.26,$49.74,$50.10,67.12,A-,A,A-,A-,B+,A-,A-,4.86,33.33%,36.44%,72.08,0.00%,9.12%
JNUG,Direxion Daily Junior Gold Miners Index Bull 3x Shares,Equity,"$1,173,469,278.00",8.17%,"2,692,229",$90.29,9.84%,No,3x,27.08%,16.28%,40.88%,-60.13%,-69.88%,"-$22,537,724.50","-$287,249.00","$5,079,713.00","-$204,669,302.75","-$130,211,439.32","$653,819,691.80",Leveraged Equities,2013-10-03,1.17%,N/A,$0.21,2019-09-24,$0.16,0.25%,31.06,-0.35,2,100.00%,35%,15%,1099,$66.90,$82.65,$85.50,$92.69,63.60,B-,A-,B,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GNR,SPDR S&P Global Natural Resources ETF,Equity,"$1,073,883,052.00",-6.11%,"101,105",$43.33,0.93%,No,No,-1.50%,-4.16%,-1.72%,10.29%,10.00%,"-$11,895,599.00","$8,782,904.00","-$11,895,599.00","-$94,128,306.50","$148,652,658.50","$422,907,998.00",Commodity Producers Equities,2010-09-13,0.40%,Charles Schwab,$1.77,2019-12-20,$0.96,4.12%,15.03,1.05,95,33.23%,35%,15%,1099,$42.09,$44.90,$43.19,$43.42,44.50,A,A-,A,B+,B+,B-,A-,5.86,68.82%,59.98%,553.35,8.42%,3.50%
XHB,SPDR S&P Homebuilders ETF,Equity,"$853,365,566.00",7.49%,"1,641,544",$48.92,0.08%,No,No,-0.24%,1.56%,27.06%,42.16%,39.63%,"$28,677,142.50","$7,356,967.50","-$23,761,240.00","-$6,267,604.50","-$527,477,911.50","-$1,463,382,926.16",Building & Construction ,2006-02-06,0.35%,N/A,$0.40,2019-12-20,$0.10,0.83%,15.73,1.11,35,45.34%,35%,15%,1099,$47.27,$49.38,$48.75,$49.22,61.07,A+,A+,A+,A+,A-,A+,A,6.09,66.67%,66.85%,91.43,0.00%,8.23%
