Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$39,696,903,428.00",5.73%,"4,938,026",$98.11,-1.35%,No,No,0.16%,3.30%,19.47%,32.37%,41.33%,"$494,837,617.63","$255,720,788.97","$390,870,819.00","$1,856,022,076.88","$409,425,562.27","$6,262,350,972.67",Real Estate,2004-09-23,0.12%,2 Platforms,$3.14,2019-12-18,$0.96,3.16%,34.60,0.54,181,38.26%,35%,15%,1099,$93.05,$99.37,$97.64,$99.04,63.81,A+,A,A,A-,B+,A-,A,4.5,49.41%,30.21%,117.38,0.63%,9.55%
SCHH,Schwab US REIT ETF,Real Estate,"$6,367,806,621.00",3.87%,"784,895",$47.74,-1.59%,No,No,0.23%,1.75%,12.27%,25.83%,33.30%,"$37,068,855.50","$4,774,762.00","$112,657,202.00","$732,457,940.50","$2,612,507,039.00","$4,241,818,294.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$1.32,2019-12-12,$0.56,2.71%,31.89,0.55,94,45.08%,35%,15%,1099,$46.04,$48.34,$47.46,$48.28,58.87,A,A-,A+,B+,A-,B-,A-,4.56,58.82%,31.33%,96.74,0.00%,15.00%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"$5,816,264,867.00",-0.36%,"430,492",$58.88,-0.05%,No,No,0.08%,-0.03%,11.17%,31.65%,31.05%,"-$63,711,868.57","$191,274.75","$199,004.71","$74,315,599.46","$1,945,120,268.64","$3,240,645,327.38",Global Real Estate,2010-11-01,0.12%,Vanguard,$4.48,2019-12-18,$3.65,7.61%,11.30,0.63,597,18.48%,35%,15%,1099,$57.40,$59.37,$58.82,$59.00,55.86,A+,A-,A,A,B,A,A+,4.82,29.73%,35.64%,81.95,1.46%,17.50%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,395,482,700.00",6.31%,"6,947,250",$98.95,-1.26%,No,No,0.24%,3.49%,20.06%,39.19%,47.45%,"-$253,789,591.50","-$63,933,487.00","-$261,858,304.00","-$696,555,998.50","-$666,519,569.00","-$2,318,433,854.50",Real Estate,2000-06-12,0.42%,Fidelity,$2.84,2019-12-16,$0.89,2.83%,33.81,0.56,114,38.16%,35%,15%,1099,$93.50,$100.14,$98.32,$100.17,65.44,A,A+,B,B-,A,B+,A,4.58,60.59%,31.65%,114.56,0.69%,10.64%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$3,830,523,128.00",6.67%,"3,981,440",$41.25,-1.41%,No,No,0.24%,3.98%,21.43%,45.24%,N/A,"-$133,897,458.00","-$2,023,205.50","-$202,048,125.50","$186,802,813.00","$679,582,856.00","$3,205,333,118.00",Real Estate,2015-10-07,0.13%,N/A,$1.18,2019-12-20,$0.41,2.83%,37.95,0.59,32,60.38%,39%,20%,1099,$38.76,$41.80,$41.05,$41.65,64.61,N/A,N/A,A,N/A,N/A,N/A,C+,6.49,99.41%,76.44%,135.97,0.00%,12.58%
ICF,iShares Cohen & Steers REIT ETF,Real Estate,"$2,482,135,865.00",5.86%,"96,239",$123.84,-1.54%,No,No,0.23%,3.39%,17.36%,34.24%,41.66%,"-$34,379,255.50","$6,369,675.00","$6,345,757.50","$78,311,786.00","-$864,786,546.00","-$1,055,812,387.00",Real Estate,2001-01-29,0.34%,N/A,$2.98,2019-12-16,$0.84,2.37%,42.30,0.46,31,60.38%,35%,15%,1099,$117.35,$125.47,$123.21,$125.08,62.69,B-,A-,A-,C+,B,C+,B-,6.02,98.24%,64.90%,135.29,0.00%,14.91%
RWO,SPDR DJ Wilshire Global Real Estate ETF,Real Estate,"$2,311,415,910.00",2.72%,"156,203",$52.92,-1.19%,No,No,0.00%,1.15%,11.98%,23.89%,24.61%,"$44,418,771.50",$0.00,"$44,418,771.50","-$130,138,797.50","-$493,007,297.50","$207,570,605.50",Global Real Estate,2008-05-13,0.50%,2 Platforms,$2.05,2019-12-23,$0.91,3.82%,24.26,0.55,218,26.15%,35%,15%,1099,$51.58,$53.46,$52.74,$53.29,58.71,A-,A,B,C+,A+,B-,A-,5.41,65.25%,47.86%,103.86,0.00%,18.56%
RWR,SPDR Dow Jones REIT ETF,Real Estate,"$2,302,977,702.00",3.80%,"181,998",$105.90,-1.63%,No,No,0.25%,1.70%,12.09%,25.11%,32.16%,"-$326,707,061.25",$0.00,"-$164,379,212.25","-$660,789,278.50","-$1,164,949,332.00","-$1,211,487,510.02",Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.43,2019-12-23,$1.15,3.19%,28.65,0.55,94,45.23%,35%,15%,1099,$102.18,$107.26,$105.28,$107.10,58.61,A,A-,A,B,A-,B+,A-,4.56,60.00%,31.40%,96.6,0.00%,15.02%
REET,iShares Global REIT ETF,Real Estate,"$2,264,947,156.00",3.22%,"455,139",$28.51,-1.11%,No,No,0.07%,1.42%,14.31%,28.86%,32.52%,"$234,197,945.50","$64,340,096.00","$142,910,703.50","$586,066,100.50","$1,725,450,206.50","$2,046,953,619.00",Global Real Estate,2014-07-08,0.14%,N/A,$1.45,2019-12-16,$0.66,5.04%,21.31,0.54,307,23.87%,35%,15%,1099,$27.71,$28.76,$28.38,$28.73,59.85,N/A,N/A,A+,N/A,N/A,N/A,N/A,4.79,27.03%,35.04%,95.41,0.61%,16.70%
RWX,SPDR DJ Wilshire International Real Estate ETF,Real Estate,"$1,839,797,922.00",1.26%,"443,192",$39.28,-0.30%,No,No,0.23%,0.54%,11.86%,23.90%,17.10%,"-$189,806,620.00","-$90,809,783.50","-$110,354,536.00","-$566,006,042.50","-$1,943,549,293.50","-$2,649,572,747.37",Global Real Estate,2006-12-15,0.59%,TD Ameritrade,$3.47,2019-12-23,$2.48,8.78%,17.54,0.56,126,26.90%,35%,15%,1099,$38.65,$39.48,$39.19,$39.42,58.15,A-,A,C+,B+,A-,A-,B+,6.63,95.75%,79.99%,113.58,0.00%,23.33%
