Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$98,845,397,663.00",11.46%,"23,852,598",$236.98,0.96%,No,No,1.16%,5.86%,38.69%,87.31%,131.75%,"$1,433,479,712.00","$362,825,992.00","$3,198,486,992.00","$6,583,593,639.50","$16,603,741,981.00","$14,115,138,965.50",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.67%,22.66,1.16,104,53.16%,35%,15%,1099,$216.14,$238.50,$236.06,$237.68,74.66,A-,A+,A-,A-,C+,B,B,5.7,57.34%,55.04%,46.01,9.89%,7.95%
VGT,Vanguard Information Technology ETF,Equity,"$29,187,310,216.00",11.58%,"614,731",$273.21,1.12%,No,No,0.95%,4.95%,45.61%,112.99%,168.58%,"$713,006,881.92","$40,682,916.48","$330,644,147.84","$2,371,244,292.40","$3,664,929,948.01","$6,029,305,459.26",Technology Equities,2004-01-30,0.10%,Vanguard,$2.72,2019-12-16,$0.65,1.01%,26.60,1.19,322,58.55%,35%,15%,1099,$252.90,$274.76,$272.04,$274.05,68.96,A+,A,A,B-,A,A-,A+,6.08,69.97%,66.62%,22.16,0.79%,5.22%
XLK,Technology Select Sector SPDR Fund,Equity,"$29,160,469,189.00",12.13%,"8,994,453",$102.79,1.19%,No,No,0.98%,5.50%,49.55%,105.52%,160.48%,"-$81,747,138.00","$50,820,498.00","-$802,040,819.50","$1,398,375,719.00","-$1,308,419,646.50","-$563,885,247.43",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.04%,22.73,1.14,72,66.61%,35%,15%,1099,$94.68,$103.43,$102.33,$103.10,69.28,A,A+,A,C+,A+,A-,B+,6.32,78.75%,72.97%,21.34,0.33%,5.49%
FDN,First Trust Dow Jones Internet Index,Equity,"$8,635,315,833.00",10.98%,"302,210",$154.39,0.15%,No,No,1.28%,4.26%,12.59%,76.95%,138.77%,"-$74,226,500.00",$0.00,"-$110,888,623.50","-$514,192,187.00","$1,372,222,360.50","$2,226,094,955.73",Large Cap Growth Equities,2006-06-23,0.52%,N/A,$0.00,2011-12-21,$0.01,0.00%,30.97,1.15,42,51.33%,35%,15%,1099,$143.78,$154.93,$154.06,$154.88,70.32,B+,A,B,A+,B+,C,B,5.28,39.94%,44.84%,15.08,8.97%,3.47%
IYW,iShares U.S. Technology ETF,Equity,"$5,411,075,025.00",12.16%,"102,723",$260.88,1.01%,No,No,0.76%,5.02%,45.17%,102.62%,153.91%,"$26,097,191.00","$25,887,410.00","$26,103,091.00","-$139,899,635.00","-$866,051,903.50","-$1,025,124,212.00",Technology Equities,2000-05-19,0.42%,N/A,$1.67,2019-12-16,$0.37,0.65%,24.88,1.19,157,64.85%,35%,15%,1099,$240.93,$262.57,$259.96,$261.53,69.56,A-,A,A-,C,A,B+,A,6.33,79.89%,73.11%,20.96,0.71%,5.66%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$3,807,333,264.00",11.53%,"360,244",$80.84,1.11%,No,No,0.95%,4.95%,45.58%,107.25%,161.53%,"$253,413,022.00","$20,061,865.00","$113,681,838.00","$688,422,442.50","$1,679,266,567.00","$1,983,975,848.00",Technology Equities,2013-10-21,0.08%,Fidelity,$0.75,2019-12-20,$0.19,0.94%,24.93,1.20,320,58.42%,35%,15%,1099,$74.85,$81.28,$80.49,$81.09,69.00,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.08,69.69%,66.49%,22.1,0.79%,5.22%
IGV,iShares Expanded Tech-Software Sector ET,Equity,"$3,678,846,780.00",14.43%,"565,432",$266.67,0.65%,No,No,1.91%,6.36%,30.47%,116.75%,179.35%,"$294,350,406.50","$13,455,965.00","$174,035,266.50","$314,450,908.50","$1,317,897,803.00","$690,396,784.50",Technology Equities,2001-07-10,0.46%,N/A,$0.05,2019-06-17,$0.05,0.02%,40.71,1.14,103,56.57%,35%,15%,1099,$244.40,$267.38,$266.10,$267.47,72.62,B+,A-,B+,B,A-,C+,B+,6.78,88.67%,82.49%,13.88,0.00%,6.01%
IXN,iShares Global Tech ETF,Equity,"$3,532,420,025.00",10.18%,"77,898",$231.91,1.13%,No,No,0.45%,4.11%,44.85%,99.32%,149.76%,"-$142,213,250.50",$0.00,"-$54,006,191.00","-$199,760,931.00","$993,142,992.50","$1,037,022,358.50",Technology Equities,2001-11-12,0.46%,N/A,$2.23,2019-12-16,$1.15,0.98%,22.90,1.15,119,55.30%,35%,15%,1099,$215.35,$233.88,$230.95,$232.48,66.60,B+,B+,B+,C+,A,B,A-,6.6,85.55%,79.44%,30.66,0.77%,5.38%
QTEC,First Trust NASDAQ 100 Technology,Equity,"$3,190,459,559.00",9.20%,"181,585",$109.31,1.54%,No,No,0.76%,3.55%,38.08%,91.50%,160.46%,"$10,858,184.00","$5,426,545.50","$187,442.00","$130,842,399.00","-$54,989,647.00","$1,119,937,019.00",Technology Equities,2006-04-25,0.57%,N/A,$0.68,2019-12-13,$0.22,0.63%,25.89,1.30,42,27.51%,35%,15%,1099,$100.84,$110.05,$108.67,$109.72,64.81,B,B+,B-,B,A-,B+,B,5.85,62.61%,59.63%,37.99,0.00%,5.88%
KWEB,KraneShares CSI China Internet ETF,Equity,"$2,707,117,515.00",8.03%,"2,180,827",$52.59,1.66%,No,No,-1.50%,1.35%,18.38%,37.68%,65.87%,"$695,366,245.00","$10,480,375.00","$189,498,306.50","$570,940,779.00","$2,350,193,460.50","$2,394,516,295.00",China Equities,2013-07-31,0.76%,N/A,$0.04,2019-12-27,$0.04,0.08%,23.76,1.45,46,60.17%,35%,15%,1099,$47.71,$54.01,$52.23,$52.78,56.64,B+,B+,B,B-,A-,B-,N/A,2.84,5.10%,7.12%,23.15,0.00%,0.88%
