Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLU,Utilities Select Sector SPDR Fund,Equity,"$12,465,729,650.00",8.65%,"14,053,951",$70.21,-1.08%,No,No,1.53%,3.89%,29.20%,56.12%,79.71%,"-$64,602,187.00","-$121,707,620.50","$166,431,741.50","$71,455,687.50","$2,501,333,385.50","$302,981,921.61",Utilities Equities,1998-12-16,0.13%,N/A,$1.91,2019-12-20,$0.50,2.69%,20.55,0.16,29,61.82%,35%,15%,1099,$67.40,$70.54,$70.01,$70.60,70.46,A,A+,A,B+,A,A,B-,7.49,75.00%,91.80%,2783.72,68.06%,5.88%
VPU,Vanguard Utilities ETF,Equity,"$4,898,600,627.00",8.22%,"139,287",$154.64,-0.94%,No,No,1.53%,3.83%,27.45%,55.77%,81.35%,"$127,153,749.48","$19,366,979.53","$80,203,464.02","$867,093,215.70","$1,439,869,721.53","$1,529,842,025.94",Utilities Equities,2004-01-30,0.10%,Vanguard,$4.04,2019-12-16,$1.02,2.59%,23.10,0.19,69,53.79%,35%,15%,1099,$148.50,$155.26,$154.18,$155.50,70.53,A+,A,A,A-,A-,A,A-,7.33,69.44%,89.90%,2622.3,60.27%,6.80%
IGF,iShares Global Infrastructure ETF,Equity,"$3,757,408,500.00",4.05%,"275,377",$49.85,0.00%,No,No,0.87%,1.82%,19.00%,36.15%,37.38%,"$132,168,648.00","$14,804,868.00","$102,915,692.00","$599,236,147.00","$1,854,267,372.00","$2,145,552,202.00",Large Cap Blend Equities,2007-12-10,0.46%,N/A,$1.57,2019-12-16,$0.78,3.15%,22.30,0.55,75,39.46%,35%,15%,1099,$48.35,$49.88,$49.80,$49.91,66.83,A-,A-,B,A-,B+,A-,A,7.08,88.44%,86.85%,979.71,31.54%,2.66%
NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,Equity,"$1,838,121,575.00",3.93%,"102,023",$56.00,0.34%,No,No,0.38%,1.58%,19.20%,35.77%,38.41%,"$52,252,518.00","$16,768,293.00","$46,798,661.00","$795,023,657.50","$810,025,045.50","$1,266,040,009.17",Large Cap Blend Equities,2013-10-08,0.47%,N/A,$1.22,2019-12-20,$0.32,2.19%,24.33,0.64,162,30.56%,35%,15%,1099,$54.24,$56.15,$55.95,$56.05,65.52,B+,A-,B,N/A,N/A,B+,B,6.24,54.91%,70.84%,647.43,20.24%,8.00%
FXU,First Trust Utilities AlphaDEX Fund,Equity,"$1,341,182,398.00",8.66%,"196,824",$31.74,-0.28%,No,No,1.96%,6.37%,14.82%,26.54%,48.95%,"-$20,027,974.00","$14,160,105.00","-$2,451,631.50","$780,265,450.00","-$275,509,823.00","$658,419,072.39",Utilities Equities,2007-05-08,0.63%,N/A,$0.68,2019-12-13,$0.18,2.15%,18.72,0.33,35,48.94%,35%,15%,1099,$28.84,$31.77,$31.69,$31.85,79.35,B,A,C+,A,A,C,B,4.46,8.33%,27.42%,1995.8,33.51%,2.32%
FUTY,Fidelity MSCI Utilities Index ETF,Equity,"$1,074,254,091.00",8.13%,"152,502",$45.74,-1.02%,No,No,1.58%,3.84%,27.44%,55.56%,81.12%,"$80,529,353.50","$18,261,608.00","$42,874,294.50","$321,370,453.00","$638,109,167.00","$605,707,915.00",Utilities Equities,2013-10-21,0.08%,Fidelity,$1.19,2019-12-20,$0.31,2.58%,24.13,0.19,67,53.74%,35%,15%,1099,$43.93,$45.93,$45.60,$45.99,70.15,N/A,N/A,A+,N/A,N/A,N/A,N/A,7.32,68.06%,89.85%,2637.97,60.55%,6.81%
IDU,iShares U.S. Utilities ETF,Equity,"$1,042,780,935.00",8.20%,"45,556",$175.34,-0.97%,No,No,1.55%,3.75%,26.97%,53.36%,76.91%,"-$72,262,975.00",$0.00,$0.00,"$39,152,255.00","$48,652,644.50","-$883,956,389.00",Utilities Equities,2000-06-20,0.42%,N/A,$4.39,2019-12-16,$1.02,2.48%,22.85,0.18,49,55.66%,35%,15%,1099,$168.51,$176.01,$174.86,$176.25,70.52,B+,A,B+,B+,A-,B-,B+,7.3,66.67%,89.56%,2659.39,62.71%,5.88%
GII,SPDR S&P Global Infrastructure ETF,Equity,"$450,812,733.00",3.98%,"23,918",$57.23,0.07%,No,No,0.90%,1.99%,19.17%,35.99%,37.55%,"$11,082,243.50",$0.00,"$5,631,839.50","$94,748,522.50","$282,162,481.50","$287,632,113.50",Large Cap Blend Equities,2007-01-31,0.40%,Charles Schwab,$1.87,2019-12-20,$0.99,3.27%,19.90,0.58,75,39.45%,35%,15%,1099,$55.43,$57.23,$57.16,$57.31,67.05,B-,B-,A-,B,B+,C+,A-,7.07,87.86%,86.73%,975.63,31.54%,2.66%
RYU,Invesco S&P 500® Equal Weight Utilities ETF,Equity,"$423,937,194.00",7.82%,"28,710",$114.59,-0.79%,No,No,1.38%,3.69%,26.07%,51.68%,72.27%,"$11,323,865.00","$5,703,469.00","$11,323,865.00","$31,410,055.50","$160,113,155.50","$33,205,368.00",Utilities Equities,2006-11-07,0.40%,Charles Schwab,$2.70,2019-12-23,$0.64,2.34%,20.34,0.21,29,37.11%,35%,15%,1099,$110.23,$115.02,$114.29,$115.20,71.06,A,B+,A-,A,A,A-,B,6.78,45.83%,82.52%,2914.88,53.20%,4.43%
JXI,iShares Global Utilities ETF,Equity,"$191,843,880.00",8.84%,"25,055",$63.91,-0.28%,No,No,2.28%,4.59%,26.42%,54.76%,60.07%,"-$18,304,638.00",$0.00,$0.00,"-$163,627,005.50","-$8,616,000.50","-$205,483,951.00",Utilities Equities,2006-09-21,0.46%,N/A,$2.02,2019-12-16,$0.96,3.14%,20.15,0.28,67,43.82%,35%,15%,1099,$60.86,$63.83,$63.79,$64.15,76.49,B,A-,B,B,A-,B,B+,8.07,84.72%,96.59%,2226.2,61.17%,6.83%
