Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$98,510,855,867.00",10.43%,"24,265,604",$234.78,-0.93%,No,No,0.35%,4.54%,37.42%,85.57%,128.47%,"$1,797,320,481.00","$480,652,748.00","$2,297,693,007.00","$5,715,873,292.00","$16,967,582,750.00","$14,322,876,649.50",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.67%,22.66,1.16,104,53.14%,35%,15%,1099,$216.34,$239.35,$232.12,$237.19,69.28,A-,A+,A-,A-,C+,B,B,5.7,57.34%,55.04%,46.01,9.89%,7.95%
VGT,Vanguard Information Technology ETF,Equity,"$28,978,087,212.00",10.55%,"618,879",$270.68,-0.93%,No,No,0.22%,3.47%,44.06%,111.02%,165.04%,"$713,125,756.72","$13,620,874.80","$252,601,359.39","$2,352,366,167.20","$3,665,048,822.81","$5,994,103,334.06",Technology Equities,2004-01-30,0.10%,Vanguard,$2.72,2019-12-16,$0.65,1.00%,26.60,1.19,322,58.49%,35%,15%,1099,$253.11,$275.49,$267.18,$273.85,64.89,A+,A,A,B-,A,A-,A+,6.08,69.97%,66.62%,22.16,0.79%,5.22%
XLK,Technology Select Sector SPDR Fund,Equity,"$28,939,522,396.00",10.96%,"9,093,142",$101.72,-1.04%,No,No,0.20%,3.91%,47.82%,103.39%,156.87%,"$9,714,705.00","$182,991,213.00","-$749,554,224.50","$1,385,410,337.00","-$1,216,957,803.50","-$391,001,811.43",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.03%,22.73,1.14,72,66.58%,35%,15%,1099,$94.79,$103.71,$100.43,$102.91,64.87,A,A+,A,C+,A+,A-,B+,6.32,78.75%,72.97%,21.34,0.33%,5.49%
FDN,First Trust Dow Jones Internet Index,Equity,"$8,640,310,690.00",11.11%,"303,742",$154.58,0.12%,No,No,1.28%,3.61%,13.33%,77.17%,135.35%,"-$74,226,500.00",$0.00,"-$110,888,623.50","-$521,049,246.00","$1,372,222,360.50","$2,226,094,955.73",Large Cap Growth Equities,2006-06-23,0.52%,N/A,$0.00,2011-12-21,$0.01,0.00%,30.97,1.15,42,51.09%,35%,15%,1099,$143.68,$155.60,$152.77,$156.11,70.62,B+,A,B,A+,B+,C,B,5.28,39.94%,44.84%,15.08,8.97%,3.47%
IYW,iShares U.S. Technology ETF,Equity,"$5,356,670,600.00",10.98%,"102,890",$258.14,-1.05%,No,No,0.03%,3.45%,43.68%,100.49%,150.20%,"$13,187,201.00","-$12,909,990.00","$13,193,101.00","-$161,866,807.50","-$878,961,893.50","-$1,032,616,702.00",Technology Equities,2000-05-19,0.42%,N/A,$1.67,2019-12-16,$0.37,0.64%,24.88,1.19,157,64.79%,35%,15%,1099,$241.14,$263.26,$255.00,$261.08,64.87,A-,A,A-,C,A,B+,A,6.33,79.89%,73.11%,20.96,0.71%,5.66%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$3,772,111,283.00",10.51%,"365,558",$80.10,-0.92%,No,No,0.20%,3.50%,44.15%,105.35%,158.19%,"$273,394,867.00","$40,043,710.00","$133,663,683.00","$705,596,609.00","$1,699,248,412.00","$2,003,957,693.00",Technology Equities,2013-10-21,0.08%,Fidelity,$0.75,2019-12-20,$0.19,0.93%,24.93,1.20,320,58.32%,35%,15%,1099,$74.92,$81.50,$79.05,$81.04,64.96,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.08,69.69%,66.49%,22.1,0.79%,5.22%
IXN,iShares Global Tech ETF,Equity,"$3,497,035,450.00",8.79%,"78,690",$228.99,-1.26%,No,No,-0.39%,2.60%,42.85%,96.81%,145.73%,"-$119,300,950.50","$22,912,300.00","-$31,093,891.00","-$176,848,631.00","$1,016,055,292.50","$1,059,934,658.50",Technology Equities,2001-11-12,0.46%,N/A,$2.23,2019-12-16,$1.15,0.96%,22.90,1.15,119,55.23%,35%,15%,1099,$215.48,$234.34,$226.62,$231.36,61.57,B+,B+,B+,C+,A,B,A-,6.6,85.55%,79.44%,30.66,0.77%,5.38%
XT,iShares Exponential Technologies ETF,Equity,"$2,546,015,023.00",5.24%,"239,040",$45.00,-0.62%,No,No,0.09%,1.83%,23.21%,61.63%,N/A,"-$329,407,949.50","-$164,237,879.00","-$320,700,011.50","-$299,419,124.50","$808,792,989.50","$1,039,931,397.50",Large Cap Growth Equities,2015-03-19,0.47%,N/A,$0.66,2019-12-16,$0.30,1.47%,21.91,1.08,202,7.03%,35%,15%,1099,$42.51,$45.63,$44.65,$45.30,61.93,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.04,68.27%,65.47%,44.48,4.15%,11.04%
IGM,iShares Expanded Tech Sector ETF,Equity,"$2,146,006,400.00",10.78%,"40,416",$268.25,-0.83%,No,No,0.44%,3.84%,37.43%,101.76%,162.50%,"$124,313,558.00",$0.00,"$38,881,384.00","$70,505,022.50","$22,469,682.00","$132,263,178.50",Technology Equities,2001-03-13,0.46%,N/A,$1.21,2019-12-16,$0.32,0.45%,28.35,1.20,303,52.57%,35%,15%,1099,$249.30,$272.56,$265.24,$271.02,68.44,A-,B+,B+,B,A,B+,A,5.68,58.07%,54.42%,20.24,8.52%,3.78%
BOTZ,Global X Robotics & Artificial Intelligence Thematic ETF,Equity,"$1,519,717,805.00",3.70%,"460,700",$22.68,-0.40%,No,No,-0.61%,0.44%,15.49%,38.99%,N/A,"-$32,776,542.00",$0.00,"-$32,776,542.00","-$209,232,101.00","$1,668,286,598.50","$1,685,674,271.16",Global Equities,2016-09-12,0.68%,N/A,$0.18,2019-12-30,$0.03,0.80%,29.80,1.55,38,60.88%,39%,20%,1099,$21.49,$23.21,$22.41,$22.90,54.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.34,19.83%,25.13%,22.5,9.38%,6.81%
