Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
DBA,Invesco DB Agriculture Fund,Commodity,"$328,295,627.00",-3.68%,"234,556",$15.95,-0.62%,No,No,0.25%,-2.80%,-2.95%,-20.49%,-29.88%,"-$5,873,466.00",$0.00,"-$15,689,760.00","-$129,945,150.00","-$318,565,072.00","-$236,740,718.56",Agricultural Commodities,2007-01-05,0.85%,N/A,$0.26,2019-12-23,$0.26,1.60%,0.00,0.04,11,97.64%,23%,23%,K-1,$15.49,$16.30,$15.91,$16.02,47.22,A,A+,C,B,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RJA,RICI-Agriculture ETN,Commodity,"$72,396,773.00",-2.42%,"31,811",$5.43,-0.73%,No,No,0.37%,-3.21%,-3.04%,-17.85%,-23.31%,"-$1,218,285.00",$0.00,"-$322,518.00","-$9,355,309.00","-$22,680,809.00","-$63,094,009.00",Agricultural Commodities,2007-10-17,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.14,19,82.53%,35%,15%,1099,$5.34,$5.54,$5.42,$5.45,47.03,A-,A,B,B+,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CORN,Teucrium Corn Fund,Commodity,"$70,671,207.00",-3.38%,"54,242",$14.30,-0.56%,No,No,-0.42%,-3.83%,-10.68%,-26.85%,-45.29%,"-$3,280,135.00",$0.00,"-$734,330.00","$22,467,417.50","$9,878,605.00","$25,437,864.97",Agricultural Commodities,2010-06-09,1.11%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.23,1,100.00%,23%,23%,K-1,$14.19,$14.70,$14.26,$14.34,43.41,B,A,C+,B,C+,N/A,N/A,3.17,0.00%,10.02%,133.81,0.00%,0.09%
WEAT,Teucrium Wheat,Commodity,"$51,942,835.00",-1.03%,"110,416",$5.79,-0.52%,No,No,2.66%,-3.18%,3.02%,-22.07%,-47.93%,"$91,317.50","$1,541,732.50","$531,492.50","-$4,467,612.50","-$8,146,695.00","$55,779,914.92",Agricultural Commodities,2011-09-19,1.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.04,1,100.00%,23%,23%,K-1,$5.59,$5.95,N/A,N/A,52.10,C,A-,C,B-,C+,N/A,N/A,3.64,0.00%,15.10%,127.04,0.00%,0.06%
FAAR,First Trust Alternative Absolute Return Strategy Fund,Commodity,"$26,754,953.00",-1.60%,"19,792",$25.48,0.08%,No,No,0.46%,-0.41%,-5.09%,-8.27%,N/A,"$1,267,981.00",$0.00,"$1,267,981.00","$4,678,384.00","$27,233,790.50","$27,233,790.50",Commodities,2016-05-18,0.95%,N/A,$0.26,2019-12-13,$0.27,1.04%,0.00,0.14,22,110.88%,39%,20%,1099,$25.24,$25.54,$25.44,$25.52,46.23,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.58,88.57%,79.05%,0.0,0.00%,0.00%
SOYB,Teucrium Soybean,Commodity,"$26,543,578.00",-6.76%,"38,371",$14.76,-0.27%,No,No,-0.81%,-2.57%,-9.72%,-24.81%,-27.22%,"$341,712.50","$1,110,832.50","$1,110,832.50","$3,927,940.00","$21,049,873.00","$26,413,878.00",Agricultural Commodities,2011-09-19,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.11,1,100.00%,23%,23%,K-1,$14.54,$15.07,N/A,N/A,38.52,B,B,C,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JJG,iPath Series B Bloomberg Grains Subindex Total Return ETN,Commodity,"$18,737,843.00",-3.39%,"2,384",$44.58,-0.56%,No,No,0.26%,-3.19%,-3.81%,N/A,N/A,"$222,919.89","-$31,510.01","$127,238.41","-$5,446,444.16","-$102,371,309.83","-$87,682,476.92",Agricultural Commodities,2018-01-17,0.45%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.16,3,100.00%,35%,15%,1099,$43.75,$45.59,$44.55,$44.64,46.54,B+,A-,B-,B+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JJA,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,Commodity,"$6,573,169.00",-4.12%,908,$43.54,-0.71%,No,No,0.16%,-2.75%,-3.75%,N/A,N/A,"$4,490.79",$0.00,$0.00,"$572,022.05","-$10,624,127.29","-$28,866,620.17",Agricultural Commodities,2018-01-17,0.45%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.06,7,100.00%,35%,15%,1099,$42.63,$44.41,$43.51,$43.57,45.90,B+,B,B,B-,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRU,MLCX Grains ETN,Commodity,"$3,728,888.00",-1.75%,"3,984",$3.09,0.32%,No,No,0.65%,-2.83%,-2.68%,-23.51%,-37.32%,"-$191,576.00",$0.00,$0.00,"$346,362.00","$241,272.00","-$1,683,520.00",Agricultural Commodities,2008-02-14,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.19,4,100.00%,35%,15%,1099,$3.01,$3.16,$3.09,$3.09,50.09,B,B+,B-,B,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FUD,E-TRACS UBS Bloomberg CMCI Food ETN,Commodity,"$3,233,679.00",-2.20%,"1,918",$16.20,-0.74%,No,No,0.09%,-2.41%,-2.67%,-22.82%,-24.55%,$0.00,$0.00,$0.00,"-$245,124.00","-$3,207,870.00","-$14,777,215.00",Agricultural Commodities,2008-04-01,0.65%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.02,10,100.00%,35%,15%,1099,$15.88,$16.50,$16.14,$16.31,49.42,A,A-,A,B,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
